graph_type,od_id,from_point_id,from_point_name,from_municipality_name_en,to_point_id,to_point_name,to_municipality_name_en,status,start_node,end_node,path_node_count,route_length_km,travel_time_min,error_message
batch,kanagawa_odawara_001__kanagawa_yokohama_001,kanagawa_odawara_001,Odawara Station,Odawara,kanagawa_yokohama_001,Yokohama Station,Yokohama,success,2451183506,8120975721,381,52.51,65.28,
batch,kanagawa_yokohama_001__kanagawa_fujisawa_001,kanagawa_yokohama_001,Yokohama Station,Yokohama,kanagawa_fujisawa_001,Fujisawa Station,Fujisawa,success,8120975721,2398078142,246,21.98,31.62,
batch,kanagawa_yokohama_001__kanagawa_hakone_001,kanagawa_yokohama_001,Yokohama Station,Yokohama,kanagawa_hakone_001,Hakone-Yumoto Station,Hakone,success,8120975721,6138273291,436,59.73,75.8,
batch,kanagawa_yokohama_001__kanagawa_kamakura_001,kanagawa_yokohama_001,Yokohama Station,Yokohama,kanagawa_kamakura_001,Great Buddha of Kamakura,Kamakura,success,8120975721,298025891,270,22.99,35.49,
batch,kanagawa_yokohama_001__kanagawa_kawasaki_001,kanagawa_yokohama_001,Yokohama Station,Yokohama,kanagawa_kawasaki_001,Kawasaki Station,Kawasaki,success,8120975721,1657620639,115,10.74,13.69,
batch,kanagawa_yokohama_001__kanagawa_odawara_001,kanagawa_yokohama_001,Yokohama Station,Yokohama,kanagawa_odawara_001,Odawara Station,Odawara,success,8120975721,2451183506,370,53.54,65.99,
master_split_merged,kanagawa_fujisawa_001__kanagawa_hakone_001,kanagawa_fujisawa_001,Fujisawa Station,Fujisawa,kanagawa_hakone_001,Hakone-Yumoto Station,Hakone,success,2398078142,6138273291,250,38.88,47.14,
master_split_merged,kanagawa_fujisawa_001__kanagawa_kamakura_001,kanagawa_fujisawa_001,Fujisawa Station,Fujisawa,kanagawa_kamakura_001,Great Buddha of Kamakura,Kamakura,success,2398078142,298025891,61,5.83,8.88,
master_split_merged,kanagawa_fujisawa_001__kanagawa_kawasaki_001,kanagawa_fujisawa_001,Fujisawa Station,Fujisawa,kanagawa_kawasaki_001,Kawasaki Station,Kawasaki,success,2398078142,1657620639,273,31.38,39.44,
master_split_merged,kanagawa_fujisawa_001__kanagawa_odawara_001,kanagawa_fujisawa_001,Fujisawa Station,Fujisawa,kanagawa_odawara_001,Odawara Station,Odawara,success,2398078142,2451183506,184,32.69,37.34,
master_split_merged,kanagawa_fujisawa_001__kanagawa_yokohama_001,kanagawa_fujisawa_001,Fujisawa Station,Fujisawa,kanagawa_yokohama_001,Yokohama Station,Yokohama,success,2398078142,8120975721,249,21.26,31.77,
master_split_merged,kanagawa_hakone_001__kanagawa_fujisawa_001,kanagawa_hakone_001,Hakone-Yumoto Station,Hakone,kanagawa_fujisawa_001,Fujisawa Station,Fujisawa,success,6138273291,2398078142,267,38.96,46.69,
master_split_merged,kanagawa_hakone_001__kanagawa_kamakura_001,kanagawa_hakone_001,Hakone-Yumoto Station,Hakone,kanagawa_kamakura_001,Great Buddha of Kamakura,Kamakura,success,6138273291,298025891,327,44.09,54.44,
master_split_merged,kanagawa_hakone_001__kanagawa_kawasaki_001,kanagawa_hakone_001,Hakone-Yumoto Station,Hakone,kanagawa_kawasaki_001,Kawasaki Station,Kawasaki,success,6138273291,1657620639,472,68.95,82.65,
master_split_merged,kanagawa_hakone_001__kanagawa_odawara_001,kanagawa_hakone_001,Hakone-Yumoto Station,Hakone,kanagawa_odawara_001,Odawara Station,Odawara,success,6138273291,2451183506,61,6.74,10.88,
master_split_merged,kanagawa_hakone_001__kanagawa_yokohama_001,kanagawa_hakone_001,Hakone-Yumoto Station,Hakone,kanagawa_yokohama_001,Yokohama Station,Yokohama,success,6138273291,8120975721,448,58.82,74.98,
master_split_merged,kanagawa_kamakura_001__kanagawa_fujisawa_001,kanagawa_kamakura_001,Great Buddha of Kamakura,Kamakura,kanagawa_fujisawa_001,Fujisawa Station,Fujisawa,success,298025891,2398078142,62,5.7,8.58,
master_split_merged,kanagawa_kamakura_001__kanagawa_hakone_001,kanagawa_kamakura_001,Great Buddha of Kamakura,Kamakura,kanagawa_hakone_001,Hakone-Yumoto Station,Hakone,success,298025891,6138273291,314,44.12,55.36,
master_split_merged,kanagawa_kamakura_001__kanagawa_kawasaki_001,kanagawa_kamakura_001,Great Buddha of Kamakura,Kamakura,kanagawa_kawasaki_001,Kawasaki Station,Kawasaki,success,298025891,1657620639,374,32.88,47.4,
master_split_merged,kanagawa_kamakura_001__kanagawa_odawara_001,kanagawa_kamakura_001,Great Buddha of Kamakura,Kamakura,kanagawa_odawara_001,Odawara Station,Odawara,success,298025891,2451183506,248,37.93,45.56,
master_split_merged,kanagawa_kamakura_001__kanagawa_yokohama_001,kanagawa_kamakura_001,Great Buddha of Kamakura,Kamakura,kanagawa_yokohama_001,Yokohama Station,Yokohama,success,298025891,8120975721,283,22.26,34.23,
master_split_merged,kanagawa_kawasaki_001__kanagawa_fujisawa_001,kanagawa_kawasaki_001,Kawasaki Station,Kawasaki,kanagawa_fujisawa_001,Fujisawa Station,Fujisawa,success,1657620639,2398078142,275,31.31,38.97,
master_split_merged,kanagawa_kawasaki_001__kanagawa_hakone_001,kanagawa_kawasaki_001,Kawasaki Station,Kawasaki,kanagawa_hakone_001,Hakone-Yumoto Station,Hakone,success,1657620639,6138273291,465,69.06,83.15,
master_split_merged,kanagawa_kawasaki_001__kanagawa_kamakura_001,kanagawa_kawasaki_001,Kawasaki Station,Kawasaki,kanagawa_kamakura_001,Great Buddha of Kamakura,Kamakura,success,1657620639,298025891,359,32.89,47.67,
master_split_merged,kanagawa_kawasaki_001__kanagawa_odawara_001,kanagawa_kawasaki_001,Kawasaki Station,Kawasaki,kanagawa_odawara_001,Odawara Station,Odawara,success,1657620639,2451183506,399,62.87,73.35,
master_split_merged,kanagawa_kawasaki_001__kanagawa_yokohama_001,kanagawa_kawasaki_001,Kawasaki Station,Kawasaki,kanagawa_yokohama_001,Yokohama Station,Yokohama,success,1657620639,8120975721,107,11.73,14.05,
master_split_merged,kanagawa_odawara_001__kanagawa_fujisawa_001,kanagawa_odawara_001,Odawara Station,Odawara,kanagawa_fujisawa_001,Fujisawa Station,Fujisawa,success,2451183506,2398078142,200,32.65,36.99,
master_split_merged,kanagawa_odawara_001__kanagawa_hakone_001,kanagawa_odawara_001,Odawara Station,Odawara,kanagawa_hakone_001,Hakone-Yumoto Station,Hakone,success,2451183506,6138273291,66,6.82,11.05,
master_split_merged,kanagawa_odawara_001__kanagawa_kamakura_001,kanagawa_odawara_001,Odawara Station,Odawara,kanagawa_kamakura_001,Great Buddha of Kamakura,Kamakura,success,2451183506,298025891,260,37.78,44.75,
master_split_merged,kanagawa_odawara_001__kanagawa_kawasaki_001,kanagawa_odawara_001,Odawara Station,Odawara,kanagawa_kawasaki_001,Kawasaki Station,Kawasaki,success,2451183506,1657620639,405,62.63,72.95,
master_split_merged,kanagawa_odawara_001__kanagawa_yokohama_001,kanagawa_odawara_001,Odawara Station,Odawara,kanagawa_yokohama_001,Yokohama Station,Yokohama,success,2451183506,8120975721,381,52.51,65.28,
master_split_merged,kanagawa_yokohama_001__kanagawa_fujisawa_001,kanagawa_yokohama_001,Yokohama Station,Yokohama,kanagawa_fujisawa_001,Fujisawa Station,Fujisawa,success,8120975721,2398078142,246,21.98,31.62,
master_split_merged,kanagawa_yokohama_001__kanagawa_hakone_001,kanagawa_yokohama_001,Yokohama Station,Yokohama,kanagawa_hakone_001,Hakone-Yumoto Station,Hakone,success,8120975721,6138273291,436,59.73,75.8,
master_split_merged,kanagawa_yokohama_001__kanagawa_kamakura_001,kanagawa_yokohama_001,Yokohama Station,Yokohama,kanagawa_kamakura_001,Great Buddha of Kamakura,Kamakura,success,8120975721,298025891,270,22.99,35.49,
master_split_merged,kanagawa_yokohama_001__kanagawa_kawasaki_001,kanagawa_yokohama_001,Yokohama Station,Yokohama,kanagawa_kawasaki_001,Kawasaki Station,Kawasaki,success,8120975721,1657620639,115,10.74,13.69,
master_split_merged,kanagawa_yokohama_001__kanagawa_odawara_001,kanagawa_yokohama_001,Yokohama Station,Yokohama,kanagawa_odawara_001,Odawara Station,Odawara,success,8120975721,2451183506,370,53.54,65.99,
