strategy,check,status,detail
B,各配送先1回のみ訪問,PASS,重複なし
B,積載上限,PASS,車両1: 50個/50個  車両2: 50個/50個  車両3: 50個/50個  車両4: 50個/50個  車両5: 50個/50個  車両6: 50個/50個  車両7: 50個/50個  車両8: 50個/50個  車両9: 50個/50個  車両10: 50個/50個  車両11: 50個/50個  車両12: 50個/50個  車両13: 50個/50個  車両14: 50個/50個  車両15: 50個/50個  車両16: 50個/50個  車両17: 50個/50個  車両18: 50個/50個  車両19: 50個/50個  車両20: 50個/50個  車両21: 50個/50個  車両22: 50個/50個  車両23: 50個/50個  車両24: 50個/50個  車両25: 50個/50個  車両26: 50個/50個  車両27: 50個/50個  車両28: 50個/50個  車両29: 50個/50個  車両30: 50個/50個  車両31: 50個/50個  車両32: 50個/50個  車両33: 50個/50個  車両34: 50個/50個  車両35: 50個/50個  車両36: 50個/50個  車両37: 50個/50個  車両38: 50個/50個  車両39: 50個/50個  車両40: 50個/50個  車両41: 50個/50個  車両42: 50個/50個  車両43: 50個/50個  車両44: 50個/50個  車両45: 50個/50個  車両46: 50個/50個  車両47: 50個/50個  車両48: 50個/50個  車両49: 50個/50個  車両50: 50個/50個  車両51: 50個/50個  車両52: 50個/50個  車両53: 49個/50個  車両54: 50個/50個  車両55: 49個/50個  車両56: 48個/50個
B,時間帯制約・午前（13:00まで）,PASS,午前指定 281 件すべて充足
B,時間帯制約・午後（13:00以降）,PASS,午後指定 271 件すべて充足
B,業務終了時刻（19:00帰着）,PASS,車両1: 17:33帰着  車両2: 15:31帰着  車両3: 15:18帰着  車両4: 14:54帰着  車両5: 14:56帰着  車両6: 14:41帰着  車両7: 14:21帰着  車両8: 14:31帰着  車両9: 14:46帰着  車両10: 14:34帰着  車両11: 14:08帰着  車両12: 14:13帰着  車両13: 14:09帰着  車両14: 14:53帰着  車両15: 14:25帰着  車両16: 14:05帰着  車両17: 14:33帰着  車両18: 14:06帰着  車両19: 14:13帰着  車両20: 13:58帰着  車両21: 13:59帰着  車両22: 14:02帰着  車両23: 14:03帰着  車両24: 14:12帰着  車両25: 13:52帰着  車両26: 13:54帰着  車両27: 14:15帰着  車両28: 14:04帰着  車両29: 13:46帰着  車両30: 14:26帰着  車両31: 14:11帰着  車両32: 13:48帰着  車両33: 13:49帰着  車両34: 13:56帰着  車両35: 13:59帰着  車両36: 13:51帰着  車両37: 13:55帰着  車両38: 14:21帰着  車両39: 13:53帰着  車両40: 13:44帰着  車両41: 13:44帰着  車両42: 13:49帰着  車両43: 13:36帰着  車両44: 13:43帰着  車両45: 13:28帰着  車両46: 13:37帰着  車両47: 13:34帰着  車両48: 13:49帰着  車両49: 13:31帰着  車両50: 09:03帰着  車両51: 13:56帰着  車両52: 13:11帰着  車両53: 13:21帰着  車両54: 13:18帰着  車両55: 13:12帰着  車両56: 13:15帰着
B,デポ出発・帰着,PASS,全車両がデポ始発・終着
B,使用台数 ≤ 上限(60台),PASS,使用: 56台
B,コスト内訳整合,PASS,"固定費 ¥560,000 + 距離費 ¥580,325 = ¥1,140,325"
C,全配送先訪問,PASS,対象 853 件すべて訪問済み
C,各配送先1回のみ訪問,PASS,重複なし
C,積載上限,PASS,車両1: 49個/50個  車両2: 50個/50個  車両3: 50個/50個  車両4: 50個/50個  車両5: 50個/50個  車両6: 50個/50個  車両7: 49個/50個  車両8: 50個/50個  車両9: 50個/50個  車両10: 50個/50個  車両11: 50個/50個  車両12: 50個/50個  車両13: 50個/50個  車両14: 50個/50個  車両15: 50個/50個  車両16: 49個/50個  車両17: 50個/50個  車両18: 50個/50個  車両19: 50個/50個  車両20: 50個/50個  車両21: 50個/50個  車両22: 50個/50個  車両23: 50個/50個  車両24: 50個/50個  車両25: 50個/50個  車両26: 50個/50個  車両27: 50個/50個  車両28: 50個/50個  車両29: 50個/50個  車両30: 50個/50個  車両31: 50個/50個  車両32: 50個/50個  車両33: 50個/50個  車両34: 50個/50個  車両35: 50個/50個  車両36: 50個/50個  車両37: 50個/50個  車両38: 50個/50個  車両39: 50個/50個  車両40: 50個/50個  車両41: 50個/50個  車両42: 50個/50個  車両43: 50個/50個  車両44: 49個/50個  車両45: 50個/50個  車両46: 50個/50個  車両47: 50個/50個  車両48: 50個/50個  車両49: 50個/50個  車両50: 50個/50個  車両51: 50個/50個  車両52: 50個/50個  車両53: 50個/50個  車両54: 50個/50個  車両55: 50個/50個  車両56: 50個/50個
C,時間帯制約・午前（13:00まで）,PASS,午前指定 281 件すべて充足
C,時間帯制約・午後（13:00以降）,PASS,午後指定 271 件すべて充足
C,業務終了時刻（19:00帰着）,PASS,車両1: 14:12帰着  車両2: 13:31帰着  車両3: 13:44帰着  車両4: 14:01帰着  車両5: 13:59帰着  車両6: 13:29帰着  車両7: 13:17帰着  車両8: 14:01帰着  車両9: 14:10帰着  車両10: 08:37帰着  車両11: 13:28帰着  車両12: 14:05帰着  車両13: 13:57帰着  車両14: 14:15帰着  車両15: 13:21帰着  車両16: 13:57帰着  車両17: 14:02帰着  車両18: 14:10帰着  車両19: 13:29帰着  車両20: 14:32帰着  車両21: 14:42帰着  車両22: 15:09帰着  車両23: 14:08帰着  車両24: 14:17帰着  車両25: 14:53帰着  車両26: 14:05帰着  車両27: 09:55帰着  車両28: 14:54帰着  車両29: 16:41帰着  車両30: 15:58帰着  車両31: 16:19帰着  車両32: 14:29帰着  車両33: 14:39帰着  車両34: 14:22帰着  車両35: 14:00帰着  車両36: 14:09帰着  車両37: 14:08帰着  車両38: 14:07帰着  車両39: 16:28帰着  車両40: 13:03帰着  車両41: 14:39帰着  車両42: 14:17帰着  車両43: 14:33帰着  車両44: 13:18帰着  車両45: 14:06帰着  車両46: 10:13帰着  車両47: 14:04帰着  車両48: 14:10帰着  車両49: 14:07帰着  車両50: 13:54帰着  車両51: 14:08帰着  車両52: 14:10帰着  車両53: 13:55帰着  車両54: 13:41帰着  車両55: 13:07帰着  車両56: 09:39帰着
C,デポ出発・帰着,PASS,全車両がデポ始発・終着
C,使用台数 ≤ 上限(60台),PASS,使用: 56台
C,コスト内訳整合,PASS,"固定費 ¥560,000 + 距離費 ¥615,568 = ¥1,175,568"
